	index	Rating	Founded	Competitors	Salary_NotHour	Employer_est.	AVG_Size	Python	R	AWS	Excel	SQL	AVG_Salary	Same_State	Descr._Length	analyst	data engineer	data scientist	director	manager	mle	na	na	research	junior	na	na	senior	Type_of_ownership	Industry	Sector	Revenue
37	38	4.7	2010	0	1	0	350.5	1	0	0	1	1	110000.0	1.0	3703.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Aerospace & Defense	Aerospace & Defense	$100 to $500 million 
38	39	3.5	1870	0	1	0	7500.5	1	0	0	1	0	147500.0	0.0	3555.0	0	0	1	0	0	0	0	0	0	0	0	0	1	Company - Public	Biotech & Pharmaceuticals	Biotech & Pharmaceuticals	$1 to $2 billion 
39	40	3.5	1985	0	1	0	350.5	1	0	0	1	1	106000.0	1.0	1739.0	0	1	0	0	0	0	0	1	0	0	0	1	0	Company - Private	Insurance Carriers	Insurance	$100 to $500 million 
40	41	4.2	2008	1	1	0	350.5	1	0	1	1	1	88000.0	1.0	3053.0	1	0	0	0	0	0	0	1	0	0	0	1	0	Company - Private	IT Services	Information Technology	$50 to $100 million 
41	44	4.2	2010	0	1	0	125.5	0	0	0	0	0	142500.0	1.0	3833.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Enterprise Software & Network Solutions	Information Technology	Unknown / Non-Appli
42	45	3.4	2015	1	1	0	7500.5	0	0	1	0	0	82500.0	0.0	3550.0	0	0	0	0	0	0	1	1	0	0	1	1	0	Company - Public	Consumer Products Manufacturing	Manufacturing	$2 to $5 billion 
43	46	4.3	1993	1	1	1	3000.5	1	0	0	1	1	130000.0	1.0	9120.0	0	0	1	0	0	0	0	0	0	0	0	0	1	Company - Public	Real Estate	Real Estate	$2 to $5 billion 
44	49	3.7	1958	1	1	0	10000.0	1	0	0	1	1	184500.0	0.0	7286.0	0	0	1	0	0	0	0	0	0	0	0	0	1	Company - Public	IT Services	Information Technology	$10+ billion 
45	50	3.1	1986	0	1	0	7500.5	0	0	0	1	0	29500.0	0.0	3412.0	1	0	0	0	0	0	0	1	0	0	0	1	0	Company - Private	Enterprise Software & Network Solutions	Information Technology	$2 to $5 billion 
46	51	4.7	1999	1	1	0	750.5	0	0	0	0	0	86500.0	0.0	2682.0	0	0	0	0	0	0	1	1	0	0	1	1	0	Company - Private	Aerospace & Defense	Aerospace & Defense	$100 to $500 million 
47	52	3.7	1925	1	1	0	10000.0	0	0	0	0	0	81000.0	1.0	2739.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Public	Industrial Manufacturing	Manufacturing	$10+ billion 
48	54	3.8	1984	0	1	0	750.5	1	0	0	1	1	91000.0	1.0	2915.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Subsidiary or Business Segment	Advertising & Marketing	Business Services	Unknown / Non-Appli
49	55	3.3	1912	1	1	0	10000.0	1	0	0	0	0	114500.0	1.0	4244.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Insurance Carriers	Insurance	$10+ billion 
50	56	4.6	2002	0	1	0	3000.5	1	0	0	1	0	68000.0	1.0	1629.0	1	0	0	0	0	0	0	1	0	0	0	1	0	Company - Private	Aerospace & Defense	Aerospace & Defense	$100 to $500 million 
51	57	3.7	1863	1	1	0	10000.0	1	0	0	1	1	115000.0	0.0	4734.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Public	Insurance Agencies & Brokerages	Insurance	$10+ billion 
52	58	3.7	1939	0	1	0	10000.0	0	0	0	1	1	109500.0	0.0	4448.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Public	Aerospace & Defense	Aerospace & Defense	$10+ billion 
53	59	3.5	1870	0	1	0	7500.5	1	0	0	1	0	75500.0	0.0	3543.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Public	Biotech & Pharmaceuticals	Biotech & Pharmaceuticals	$1 to $2 billion 
54	60	4.1	2012	1	1	0	750.5	1	0	0	1	0	154500.0	1.0	4203.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Enterprise Software & Network Solutions	Information Technology	Unknown / Non-Appli
55	61	4.7	2016	1	1	0	125.5	1	0	0	0	1	143500.0	1.0	5020.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	IT Services	Information Technology	Unknown / Non-Appli
56	62	4.1	2008	0	1	0	750.5	0	0	0	1	0	73500.0	1.0	1786.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Banks & Credit Unions	Finance	Unknown / Non-Appli
57	63	3.4	2000	1	1	0	350.5	1	0	1	1	1	95000.0	1.0	3747.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Public	Real Estate	Real Estate	$1 to $2 billion 
58	65	4.4	1885	0	1	0	350.5	1	0	1	0	1	107000.0	1.0	4804.0	0	0	1	0	0	0	0	0	0	0	0	0	1	Subsidiary or Business Segment	Metals Brokers	Mining & Metals	Unknown / Non-Appli
59	66	4.3	2011	0	1	0	350.5	1	0	1	0	1	115000.0	1.0	1382.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Consulting	Business Services	$10 to $25 million 
60	67	3.8	2006	0	1	0	750.5	0	0	0	0	1	139500.0	1.0	2933.0	0	0	1	0	0	0	0	0	0	0	0	0	1	Company - Public	Financial Transaction Processing	Finance	$50 to $100 million 
61	68	3.8	1965	1	1	0	3000.5	0	0	0	0	0	67000.0	1.0	4945.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Government	Energy	Oil, Gas, Energy & Utilities	$500 million to $1 billion 
62	70	3.8	1948	1	1	0	10000.0	1	0	0	0	1	85000.0	1.0	2493.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Public	Sporting Goods Stores	Retail	$5 to $10 billion 
63	72	2.8	2006	0	1	0	125.5	1	0	0	1	1	118000.0	1.0	1939.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Biotech & Pharmaceuticals	Biotech & Pharmaceuticals	$1 to $5 million 
64	73	4.7	2003	0	1	0	125.5	1	0	0	1	1	79500.0	1.0	3081.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Computer Hardware & Software	Information Technology	$25 to $50 million 
65	75	3.1	1999	1	1	0	350.5	1	0	0	0	1	56500.0	1.0	8397.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Public	Advertising & Marketing	Business Services	$100 to $500 million 
66	77	4.0	1939	0	1	0	10000.0	0	0	0	0	0	97500.0	0.0	2291.0	0	0	0	0	0	0	1	1	0	0	1	1	0	Company - Public	Computer Hardware & Software	Information Technology	Unknown / Non-Appli
67	78	4.4	2015	0	1	0	25.5	1	0	0	0	0	66500.0	0.0	1886.0	0	0	0	0	0	0	1	1	0	0	1	1	0	Company - Private	Enterprise Software & Network Solutions	Information Technology	Unknown / Non-Appli
68	79	3.6	1927	0	1	0	10000.0	1	0	0	1	1	179500.0	1.0	2903.0	0	0	0	1	0	0	0	1	0	0	0	1	0	Company - Public	Wholesale	Business Services	$10+ billion 
69	80	2.7	1978	0	1	0	750.5	0	0	0	1	0	76000.0	0.0	2653.0	0	0	0	0	0	0	1	1	0	0	1	1	0	Subsidiary or Business Segment	Research & Development	Business Services	$50 to $100 million 
70	81	3.9	2010	1	1	0	750.5	1	0	0	0	1	112000.0	1.0	4427.0	0	0	1	0	0	0	0	0	0	0	0	0	1	Company - Private	IT Services	Information Technology	$100 to $500 million 
71	82	3.1	1860	1	1	0	3000.5	1	0	0	0	0	98000.0	0.0	2609.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Mining	Mining & Metals	$1 to $2 billion 
72	83	4.0	1939	0	1	0	10000.0	0	0	1	0	1	128000.0	0.0	4295.0	0	0	1	0	0	0	0	0	0	0	0	0	1	Company - Public	Computer Hardware & Software	Information Technology	Unknown / Non-Appli
73	84	4.3	2011	0	1	0	350.5	1	0	1	1	0	150500.0	1.0	3405.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Enterprise Software & Network Solutions	Information Technology	Unknown / Non-Appli
74	85	1.9	2000	0	1	0	125.5	0	0	1	0	0	87500.0	1.0	5153.0	0	0	0	0	0	0	0	1	1	0	0	1	0	Company - Private	Biotech & Pharmaceuticals	Biotech & Pharmaceuticals	$10 to $25 million 
75	86	3.3	2017	0	1	0	3000.5	1	0	0	1	0	110000.0	1.0	3381.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Aerospace & Defense	Aerospace & Defense	$1 to $2 billion 
76	87	4.4	1995	1	1	0	10000.0	1	0	0	1	0	113500.0	0.0	879.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	IT Services	Information Technology	$500 million to $1 billion 
77	88	3.9	2016	0	1	0	125.5	1	0	0	0	1	124000.0	1.0	4189.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Health Care Services & Hospitals	Health Care	$1 to $5 million 
78	89	4.7	1997	0	1	0	350.5	0	0	0	1	0	56500.0	1.0	4424.0	1	0	0	0	0	0	0	0	0	1	0	0	0	Company - Private	Advertising & Marketing	Business Services	$25 to $50 million 
79	90	4.5	1942	1	1	0	7500.5	1	0	0	1	0	130000.0	1.0	2996.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Nonprofit Organization	Aerospace & Defense	Aerospace & Defense	$1 to $2 billion 
80	91	4.3	2008	1	1	0	125.5	0	0	0	1	1	77500.0	1.0	3682.0	1	0	0	0	0	0	0	1	0	0	0	1	0	Company - Private	Computer Hardware & Software	Information Technology	$10 to $25 million 
81	92	4.0	2002	0	1	0	350.5	1	0	1	1	1	87000.0	1.0	3819.0	0	1	0	0	0	0	0	1	0	0	0	1	0	Company - Private	Consulting	Business Services	$50 to $100 million 
82	93	4.4	1948	0	1	0	750.5	0	0	0	1	0	53500.0	1.0	1791.0	1	0	0	0	0	0	0	1	0	0	0	1	0	Company - Private	Wholesale	Business Services	$100 to $500 million 
83	94	3.2	1962	1	1	0	10000.0	0	0	0	0	1	139000.0	0.0	3934.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Public	Department, Clothing, & Shoe Stores	Retail	$10+ billion 
84	95	3.8	2005	0	1	0	350.5	1	0	1	1	1	114000.0	0.0	3804.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Consulting	Business Services	$25 to $50 million 
85	96	4.2	2008	0	1	0	750.5	1	0	0	1	1	85500.0	1.0	3204.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Enterprise Software & Network Solutions	Information Technology	$100 to $500 million 
86	97	4.5	1996	0	1	0	125.5	0	0	0	1	1	48000.0	0.0	2253.0	0	0	0	0	0	0	1	1	0	0	1	1	0	Company - Private	IT Services	Information Technology	$25 to $50 million 
87	99	3.5	1999	0	1	0	125.5	0	0	0	1	1	48000.0	1.0	2772.0	1	0	0	0	0	0	0	1	0	0	0	1	0	Company - Private	Enterprise Software & Network Solutions	Information Technology	Unknown / Non-Appli
88	101	3.5	1990	1	1	0	350.5	0	0	0	1	0	174000.0	1.0	4751.0	0	0	0	0	0	0	1	0	0	0	1	0	1	Company - Public	Biotech & Pharmaceuticals	Biotech & Pharmaceuticals	$100 to $500 million 
89	102	3.9	1968	0	1	0	7500.5	1	0	0	0	1	85000.0	0.0	2380.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Public	Financial Analytics & Research	Finance	$1 to $2 billion 
90	104	4.7	2003	0	1	0	125.5	0	0	0	0	0	106500.0	0.0	2723.0	0	0	0	0	0	0	1	1	0	0	1	1	0	Company - Private	IT Services	Information Technology	$10 to $25 million 
91	105	4.2	1988	0	1	0	3000.5	0	0	0	1	0	72500.0	0.0	2337.0	1	0	0	0	0	0	0	1	0	0	0	1	0	Company - Private	IT Services	Information Technology	$100 to $500 million 
92	106	3.4	1996	1	1	0	10000.0	0	0	0	0	0	85500.0	0.0	4088.0	0	0	0	0	0	0	1	1	0	0	1	1	0	Subsidiary or Business Segment	IT Services	Information Technology	$10+ billion 
93	107	3.2	1958	1	1	0	7500.5	1	0	0	1	1	97500.0	0.0	5342.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Nonprofit Organization	Federal Agencies	Government	$1 to $2 billion 
94	108	3.9	2010	1	1	0	750.5	1	0	0	1	0	99000.0	1.0	2588.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	IT Services	Information Technology	$100 to $500 million 
95	109	3.1	2001	1	1	0	3000.5	0	0	0	1	1	56500.0	0.0	4203.0	1	0	0	0	0	0	0	1	0	0	0	1	0	Company - Private	Insurance Carriers	Insurance	$2 to $5 billion 
96	110	4.1	2007	0	1	0	25.5	1	0	0	0	0	133000.0	1.0	5467.0	0	0	1	0	0	0	0	0	0	0	0	0	1	Company - Private	IT Services	Information Technology	Unknown / Non-Appli
97	112	3.8	2012	0	1	0	125.5	1	0	0	0	0	121000.0	1.0	3443.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Research & Development	Business Services	Unknown / Non-Appli
98	113	4.7	1992	1	1	0	750.5	1	0	0	0	1	85500.0	1.0	3316.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Security Services	Business Services	Unknown / Non-Appli
99	116	4.3	2015	1	1	0	3000.5	1	0	0	0	1	87500.0	0.0	3717.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Subsidiary or Business Segment	Education Training Services	Education	Unknown / Non-Appli
100	117	4.2	1935	1	1	1	3000.5	1	0	0	1	0	237500.0	1.0	3301.0	0	0	1	0	0	0	0	0	0	0	0	0	1	Company - Private	Consulting	Business Services	Unknown / Non-Appli
101	118	3.9	1997	1	1	0	3000.5	1	0	0	0	1	95500.0	0.0	5483.0	0	1	0	0	0	0	0	1	0	0	0	1	0	Company - Private	IT Services	Information Technology	$100 to $500 million 
102	119	3.3	1994	0	1	0	10000.0	1	0	1	1	1	104500.0	1.0	4753.0	0	0	1	0	0	0	0	0	0	0	0	0	1	Company - Public	Transportation Equipment Manufacturing	Manufacturing	$5 to $10 billion 
103	120	4.7	2012	1	1	0	350.5	0	0	0	1	1	56500.0	0.0	5609.0	1	0	0	0	0	0	0	1	0	0	0	1	0	Company - Private	Computer Hardware & Software	Information Technology	Unknown / Non-Appli
104	122	4.3	2010	0	1	0	350.5	0	0	0	1	1	55000.0	1.0	3209.0	1	0	0	0	0	0	0	0	0	0	0	0	1	Company - Private	Enterprise Software & Network Solutions	Information Technology	$25 to $50 million 
105	123	2.9	1977	1	1	0	3000.5	0	0	0	1	0	61500.0	1.0	4917.0	0	0	0	0	0	0	0	1	1	0	0	1	0	Hospital	Health Care Services & Hospitals	Health Care	Unknown / Non-Appli
106	124	4.5	2006	1	1	0	350.5	0	0	1	0	0	157000.0	1.0	5139.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Computer Hardware & Software	Information Technology	$100 to $500 million 
107	125	3.4	2019	1	1	0	350.5	1	0	0	0	1	78000.0	1.0	2232.0	0	1	0	0	0	0	0	1	0	0	0	1	0	Company - Private	Internet	Information Technology	Unknown / Non-Appli
108	126	3.7	1781	1	1	0	10000.0	1	0	0	0	1	113500.0	0.0	3731.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Public	Biotech & Pharmaceuticals	Biotech & Pharmaceuticals	$10+ billion 
109	127	4.6	2009	1	1	0	125.5	1	0	0	0	0	140000.0	1.0	4574.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Internet	Information Technology	$100 to $500 million 
110	128	3.2	2015	0	1	0	125.5	0	0	0	1	0	132500.0	1.0	3158.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Enterprise Software & Network Solutions	Information Technology	Unknown / Non-Appli
111	129	4.0	1982	0	1	0	7500.5	1	0	0	0	1	108000.0	1.0	3443.0	0	1	0	0	0	0	0	1	0	0	0	1	0	Company - Public	Computer Hardware & Software	Information Technology	$2 to $5 billion 
112	130	4.6	1937	0	1	0	750.5	0	0	0	0	0	80500.0	1.0	741.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Farm Support Services	Agriculture & Forestry	$50 to $100 million 
113	131	2.8	2000	0	1	0	350.5	1	0	0	0	0	107500.0	1.0	3899.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Health Care Services & Hospitals	Health Care	Unknown / Non-Appli
114	132	4.7	1996	1	1	0	125.5	0	0	1	0	1	95000.0	1.0	2896.0	0	1	0	0	0	0	0	1	0	0	0	1	0	Company - Private	Consulting	Business Services	$25 to $50 million 
115	136	3.0	1997	1	1	0	3000.5	1	0	0	0	1	119500.0	1.0	3947.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Nonprofit Organization	Health Care Services & Hospitals	Health Care	Unknown / Non-Appli
116	137	3.2	2000	1	1	0	3000.5	0	0	1	0	1	134000.0	0.0	2620.0	0	1	0	0	0	0	0	0	0	0	0	0	1	Company - Private	Advertising & Marketing	Business Services	$1 to $2 billion 
117	138	4.4	1999	0	1	0	350.5	1	0	0	1	1	100500.0	1.0	4188.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Enterprise Software & Network Solutions	Information Technology	Unknown / Non-Appli
118	139	3.5	1878	0	1	0	3000.5	1	0	0	0	1	107500.0	1.0	7231.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Public	TV Broadcast & Cable Networks	Media	$500 million to $1 billion 
119	140	4.0	2015	0	1	0	125.5	1	0	1	0	1	122000.0	1.0	4064.0	0	1	0	0	0	0	0	1	0	0	0	1	0	Company - Private	Internet	Information Technology	Unknown / Non-Appli
120	141	4.3	1993	1	1	1	3000.5	1	0	0	1	1	92500.0	1.0	8175.0	0	1	0	0	0	0	0	1	0	0	0	1	0	Company - Public	Real Estate	Real Estate	$2 to $5 billion 
121	142	2.3	1986	0	1	0	750.5	0	0	0	1	1	62000.0	1.0	1822.0	1	0	0	0	0	0	0	1	0	0	0	1	0	Company - Private	Research & Development	Business Services	$100 to $500 million 
122	143	4.0	2000	0	1	0	125.5	0	0	0	0	0	39500.0	1.0	2773.0	0	0	0	0	0	0	1	1	0	0	1	1	0	Unknown	Architectural & Engineering Services	Business Services	$25 to $50 million 
123	145	3.6	1966	0	1	0	3000.5	0	0	0	1	0	107500.0	1.0	3987.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Industrial Manufacturing	Manufacturing	$100 to $500 million 
124	146	3.8	2017	0	1	0	750.5	1	0	1	1	1	40500.0	1.0	4154.0	0	0	0	0	1	0	0	1	0	0	0	1	0	Company - Private	Staffing & Outsourcing	Business Services	Unknown / Non-Appli
125	147	3.7	1958	1	1	0	10000.0	1	0	0	0	1	89500.0	0.0	5002.0	0	0	1	0	0	0	0	0	0	0	0	0	1	Company - Public	IT Services	Information Technology	$10+ billion 
126	148	4.4	2008	0	1	0	350.5	1	0	1	1	1	81000.0	1.0	3154.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Consulting	Business Services	$50 to $100 million 
127	150	4.0	2012	1	1	0	750.5	1	0	1	0	0	147000.0	1.0	3698.0	0	0	1	0	0	0	0	0	0	0	0	0	1	Company - Private	Enterprise Software & Network Solutions	Information Technology	$100 to $500 million 
128	152	3.2	1958	1	1	0	3000.5	1	0	0	1	1	85000.0	1.0	3991.0	0	0	1	0	0	0	0	1	0	0	0	1	0	Company - Private	Brokerage Services	Finance	$100 to $500 million 
129	153	2.9	1971	1	1	0	3000.5	0	0	0	1	0	81500.0	1.0	5619.0	0	0	0	0	0	0	1	1	0	0	1	1	0	Company - Private	Consumer Products Manufacturing	Manufacturing	$1 to $2 billion 
